Sottosistemi territoriali,Località,Comuni,SEZ2011,Com_Den,Pop_Res,case occ,case non occ,concat,%CASE NN OCC / TOT,%CASE occupate / TOT
"Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21)",Teggiate nuova (https://www.notion.so/Teggiate-nuova-8add002893cc48308e05c8ff8c12f0b2?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000006,Madesimo,0,0,36,Teggiate nuova,1,0
"Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21)",Cascine di Teggiate (https://www.notion.so/Cascine-di-Teggiate-ed06bc2eb0dd46a0bb47b6388512f2cf?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000007,Madesimo,0,0,22,Cascine di Teggiate,1,0
"Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Andossi (https://www.notion.so/Andossi-11b7c49d99b18096a06accb03296aa5a?pvs=21)",Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000008,Madesimo,0,0,26,Pra Martegno,1,0
"Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Andossi (https://www.notion.so/Andossi-11b7c49d99b18096a06accb03296aa5a?pvs=21)",Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000009,Madesimo,0,0,17,S Rocco,1,0
"Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Andossi (https://www.notion.so/Andossi-11b7c49d99b18096a06accb03296aa5a?pvs=21)",Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000011,Madesimo,0,0,20,Camamela / Ca Mamela,1,0
"Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Andossi (https://www.notion.so/Andossi-11b7c49d99b18096a06accb03296aa5a?pvs=21)",Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000012,Madesimo,0,0,27,La Croce,1,0
Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Alpe Maccolini (https://www.notion.so/Alpe-Maccolini-a9a37fceff0b4004a8bba93ee6150b31?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000013,Madesimo,0,0,31,Alpe Macolini,1,0
Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Alpe Forcelli (https://www.notion.so/Alpe-Forcelli-792bdad2d57448059bf21a12def139ca?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000014,Madesimo,4,2,71,Casone,0.972602739726,0.027397260274
Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Zerbi (https://www.notion.so/Zerbi-b9b7b60276ad49b5bb70b4bd850571d7?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000015,Madesimo,0,0,30,Zerbi_1935,1,0
Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Pianello (https://www.notion.so/Pianello-8c555b306e254226a8984980f7d8ed14?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),140350000016,Madesimo,0,0,27,Pianello,1,0
